Title,Year,Genres,Runtime,Rating,Metascore,Votes,Gross,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
"Me, Myself & Irene",2000.0,['Comedy'],116.0,6.5,49.0,186288.0,90570000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
The Twilight Saga: Breaking Dawn - Part 2,2012.0,"['Adventure', 'Drama', 'Fantasy']",115.0,5.5,52.0,185878.0,292300000.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Lawless,2012.0,"['Crime', 'Drama']",116.0,7.3,58.0,185826.0,37400000.0,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dodgeball: A True Underdog Story,2004.0,"['Comedy', 'Sport']",92.0,6.7,55.0,185780.0,114320000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Old School,2003.0,['Comedy'],88.0,7.2,54.0,185656.0,74610000.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ender's Game,2013.0,"['Action', 'Sci-Fi']",114.0,6.7,51.0,185293.0,61660000.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
The Bucket List,2007.0,"['Adventure', 'Comedy', 'Drama']",97.0,7.4,42.0,185290.0,93450000.0,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paranormal Activity,2007.0,['Horror'],86.0,6.3,68.0,185202.0,107920000.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Warm Bodies,2013.0,"['Comedy', 'Horror', 'Romance']",98.0,6.9,59.0,185103.0,66360000.0,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
The Twilight Saga: Eclipse,2010.0,"['Adventure', 'Drama', 'Fantasy']",124.0,4.9,58.0,185094.0,300520000.0,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False
